mapname,filesize,filesize_bz2,sha1
!!!De_Incident_public_Beta,4781504,2103590,5b5bbe1250a35c581538a089a849288c142158d5
00_arena_bsp,4087756,1412584,faa8f1f3146f36cbc3c9bf70de474d2499a9501b
aim_1on1.bsp,95428,33820,00e9fe292b96c1683b5d264fb6dd5cad759b5297
aim_2on2.bsp,264376,90670,9e63ea31f2aa54c671b852e9f073c54699d5f202
aim_3on3.bsp,373816,132259,99447aeaa145fde302480a694a763c4036383953
aim_ag_saf (2),484044,209497,ff4ef4dc15d011a35696ba09d5da7ca90e730e74
bhop_kz_dydhop,49691532,20469359,82a78feeeff2789b1e93f459ca23034f78b2a287
bhop_anotherbhop,7542944,441827,01b763598343dfdcbcd2fd0f2a3abd924c64b362
bhop_bhop,7542944,441827,01b763598343dfdcbcd2fd0f2a3abd924c64b362
bhop_cuteniggers,27319544,5141047,feec6b97d65af75c80850f850cb1aaee5f8e285f
bhop_galaxy_fucked,6397663,2195590,63f89b2afcadbfdee45c64313c14031aa92925e8
bhop_height.bsp,15521267,2385936,73a741f03061a7e9bc5795c6b671e83655f278e1
bhop_thor_v2_fixed.bsp,4189856,285859,2fde312e3a2d8fba33e91974e6c0dbaad1765d74
bhop_wtf,7542944,441827,01b763598343dfdcbcd2fd0f2a3abd924c64b362
cbhopsneakerkysfaggotcantcode.exe,24231200,3333246,ffe09929d5d62ef29c8b40f15ea6c3e319e13571
surf_ninja_css_beta8.bsp,12933045,1893596,6c07f65b67e1dbd4b055ed3c943be8767b639ed5
xc_bhop_source (1),1557000,528293,367a9c5ff32e778d418da9266b533e1abe2344fa
