mapname,filesize,filesize_bz2,sha1,note
ba_jail_hellsgamers_fx7c,38678661,10654932,94aed3050c04d5d85666087ef9c204996af7d368,jblock.africa
ba_jail_jbx_alcatraz_final,48834871,9703430,48a05f693b1598965ac5ddd5e0cbd31eaaa7ad58,jblock.africa
ba_jail_omega_2015_sg_fix,28409311,28426781,21158b24a64aa160505f852c0a639c54bb7db770,jblock.africa
bhop_0w0__bhop__d-_-b,3531364,1062837,ebd58a7d1ca108974240c7dd80f92a84db0abb25,
bhop_1hr_hurryup_wario,51691676,33951313,3fba3fceb980e086366741f1e9f240513f32047c,from WowCoolWorld Bunnyhop
bhop_3muddz_2,78397809,22596694,d92f5bcfe68ef352d32ded763d8e4348d4e7df3b,
bhop_4wolfie_test2,52957923,15234823,41fe99885baa306929ebb4b0190ff0a23c468c1a,
bhop_cobblestone_logless,12623895,6008085,dd6f88780af4cf660d1a9de79d00a08eb02b64c1,
bhop_cobblestone_nolog_1,6696440,2458118,b48c6ca156f284c80b7e22b8cb412a431c7fb7a2,
bhop_furame_autist_edition,31176507,5065709,a5c6da98c52649a9096884d772f5178879727b0d,
bhop_gooball2,1829764,118311,5d115ad131786784aee6f3b7d00afab8da682592,
bhop_hot_desert,11954921,5331063,7adf6a24dfc2e0e170e2947b34dcea3a15be54ae,
bhop_miku_auto,76258918,33108080,f1ec7942361c5394518059b171bd7d65b2700f28,
bhop_miku_fix,76368338,32264924,5552b40b647bc014c4d60668579c11bf3b70ba79,
bhop_realstaminatest,8223265,8253533,28cb301e2b8c69d61ab92b3ff2928b30efcd470a,
bhop_strafepads_njv,6280812,1877427,9b70f76ae0d2c635e22906693bc3967fad137765,
bhop_strafepurple,4365884,1610206,b70c6f893ccc34b5ac65601e6bf1b7424f70b9d6,
jb_alps_beta3,92596130,41278536,da7476055545d432fb4494b6f9ad3c3fd55e2c75,jblock.africa
jb_jblock_new_summer_v6,40214441,40174450,1a03f46e796e563a55eee0542bbe5cc80cb0e870,jblock.africa
jb_minecraft_nightfall_final_1,33838844,33818309,8e06588a5a3e4ca89a4f3a9157801c4c098d54fb,jblock.africa
jb_minecraft_z_v5f,12136482,12014838,ac4d5425c5b4ea89c406666487eb6fd67b304ac0,jblock.africa
jb_minecraft_z_v5fa,10103037,10076426,66f071ed0e806f2149f58515a3f9428ee321d811,jblock.africa
jb_obama,134222160,64903509,1360cc0d9dc56cfcbe67ba560daaea8e2cc30065,jblock.africa
jb_office_beta2-1f_f1,47807110,47846784,2086496871f33e613cdecd19b22bf0333ce04894,jblock.africa
jb_resi_dev6,51895218,51785965,8bbd9c0501265880a4daa770728183216f626426,jblock.africa
jb_rv_razor_fina1,43951587,43970017,f39db8fcd8f987c656268ed70777e49142428cdc,jblock.africa
