mapname,filesize,filesize_bz2,sha1,note
35hp_2_v2,25835639,6370386,0f6f108ff2006c21e5a33b683eaac9d9be8c36e3,https://www.gamemaps.com/details/26363
awp_city_b1,13440133,2754210,6ae366420ecac945d5c3f27335820c1fc0dc622d,https://www.gamemaps.com/details/27484
cs_base2,335496899,196486908,1916315f1207481321ce3bbb73d07e94adb2fe1c,https://www.gamemaps.com/details/25729
cs_city_night_hd,498277800,257576517,7cca0a3467b002ba652211eb148af6432a409143,https://www.gamemaps.com/details/25726
cs_jail,295226588,175369650,4604143bf0208fdcf5b4db62e73c40ab56b38132,https://www.gamemaps.com/details/25730
cs_office_base3,197614364,117440454,b3845337c0adcf4a9f312b6d7d3e01ed9ee615c6,https://www.gamemaps.com/details/28742
cs_office_base4,286262737,185555625,858587023facca9cd4e8f201b06cf52fbcc4c887,https://www.gamemaps.com/details/27534
cs_office_base_hd,543698924,296138047,30f8420525c2999c1fc1b56e83b2dd76f0f04b22,https://www.gamemaps.com/details/25727
de_baza2,349285394,211033571,90150aaa3523b7962d73ace4b832d410e22eaf22,https://www.gamemaps.com/details/25728
farm,261008,68521,8fa51c2cdd5f99b1a22ede9c08d3086b4b1d7f3e,https://www.gamemaps.com/details/28111
gw_dusty_beta11,5233204,1564228,2b7e6aee2ab915a0f2ccb3b714e287da402422f9,https://www.gamemaps.com/details/21818
Tarkov_AZS_1.03,216606577,91074265,fb830cfb62c458c61d54999c82c4388d18e1ec0c,https://www.gamemaps.com/details/27507
zm_Zimaxrenovo_zs,80632815,38900313,6a9df5f192b73e67742b6712127d542b7a0aac76,https://www.gamemaps.com/details/26957
de_corridors,851996,108747,f256c28b3e0c933cedbf8aa2a615c2bb70396e53,https://www.gamemaps.com/details/25025
de_corridors,3943632,436640,c3abffc6bbea37d49459f7e178a1733d7e53f9ab,https://www.gamemaps.com/details/25059
awp_building_source_2004,31665697,18661746,9a7dd8e8981c8d3bf4e7dd3108fb56b5ee85e5ba,https://www.gamemaps.com/details/33160
cs_office_base4_night,362470556,225530758,e4f25a2002a79d2f792ca5a8cb591f25d5712813,https://www.gamemaps.com/details/28897
cs_office_base5,377105992,223843399,f4d2c0752326b02e2f5b49e385d1cc0fc301e46b,https://www.gamemaps.com/details/28898
de_cabbin,1389604,488348,981cf7021564c8706422155f83ec601ed4091c43,https://www.gamemaps.com/details/28998
DE_Crafz,2884592,919055,18522b0c1bcba56264d136120dbfe19353fd0eb6,https://www.gamemaps.com/details/32914
de_niggerhell,8257259,2580514,2bc678de2f068b37d80127298ffa862e2c4251e7,https://www.gamemaps.com/details/32583
